,name,basetime,fctime,diag,obs,mb000
FF10M_MAX_S4-VDG-2021121000-1-2021121200-072,VDG-2021121000-1,2021121200,72,ff10m_max_s4,16.82528077889908,1.3867935163883445
FF925_MAX_S4-VDG-2021121000-1-2021121200-072,VDG-2021121000-1,2021121200,72,ff925_max_s4,21.078119837392787,1.778414864724656
FF300_MAX_S4-VDG-2021121000-1-2021121200-072,VDG-2021121000-1,2021121200,72,ff300_max_s4,29.350741000000244,0.18306575541685888
Z500_P-VDG-2021121000-1-2021121200-072,VDG-2021121000-1,2021121200,72,z500_p,49786.46542443516,-751.1742572867588
TTE-VDG-2021121000-1-2021121200-078,VDG-2021121000-1,2021121200,78,tte,0.0,21.450453021810606
MSLP_MIN_P-VDG-2021121000-1-2021121200-078,VDG-2021121000-1,2021121200,78,mslp_min_p,97091.03530042284,249.67538339833845
FF10M_MAX_S4-VDG-2021121000-1-2021121200-078,VDG-2021121000-1,2021121200,78,ff10m_max_s4,18.215280079023774,-3.2152353271321896
FF925_MAX_S4-VDG-2021121000-1-2021121200-078,VDG-2021121000-1,2021121200,78,ff925_max_s4,23.43112084210956,-5.35861894046306
FF300_MAX_S4-VDG-2021121000-1-2021121200-078,VDG-2021121000-1,2021121200,78,ff300_max_s4,24.70973876398718,0.1427420431329054
Z500_P-VDG-2021121000-1-2021121200-078,VDG-2021121000-1,2021121200,78,z500_p,49703.13064732175,-597.5132002342798
TTE-VDG-2021121000-1-2021121200-084,VDG-2021121000-1,2021121200,84,tte,0.0,64.4881110441897
MSLP_MIN_P-VDG-2021121000-1-2021121200-084,VDG-2021121000-1,2021121200,84,mslp_min_p,97207.38880503176,251.77678124196245
FF10M_MAX_S4-VDG-2021121000-1-2021121200-084,VDG-2021121000-1,2021121200,84,ff10m_max_s4,19.747482257361764,-5.553490343012534
FF925_MAX_S4-VDG-2021121000-1-2021121200-084,VDG-2021121000-1,2021121200,84,ff925_max_s4,25.68335123123313,-8.622694510476514
FF300_MAX_S4-VDG-2021121000-1-2021121200-084,VDG-2021121000-1,2021121200,84,ff300_max_s4,19.914865662346706,-1.0879123900231278
Z500_P-VDG-2021121000-1-2021121200-084,VDG-2021121000-1,2021121200,84,z500_p,49949.23952396718,-665.563108823655
TTE-VDG-2021121000-1-2021121200-090,VDG-2021121000-1,2021121200,90,tte,0.0,63.5196466650014
MSLP_MIN_P-VDG-2021121000-1-2021121200-090,VDG-2021121000-1,2021121200,90,mslp_min_p,97387.42044444445,265.6237250507984
FF10M_MAX_S4-VDG-2021121000-1-2021121200-090,VDG-2021121000-1,2021121200,90,ff10m_max_s4,18.959245460664,-4.959151630545234
FF925_MAX_S4-VDG-2021121000-1-2021121200-090,VDG-2021121000-1,2021121200,90,ff925_max_s4,23.584474063935062,-6.717946219743755
FF300_MAX_S4-VDG-2021121000-1-2021121200-090,VDG-2021121000-1,2021121200,90,ff300_max_s4,14.793187514066664,0.3812332703493144
Z500_P-VDG-2021121000-1-2021121200-090,VDG-2021121000-1,2021121200,90,z500_p,49974.89603643535,-431.41847746937856
